Order_ID,Order_Date,Region,Country,Product,Category,Customer_Type,Quantity,Unit_Price,Revenue,Material_Cost,Shipping_Cost,Operational_Cost,Total_Cost,Profit,Margin,Quarter
ORD000026,2024-07-24,Europe,France,Mouse,Accessories,Retail,13,1166,15158,8114.13,2309.54,1515.31,11938.98,3219.02,21.24,3
ORD000027,2024-12-22,Africa,Kenya,Printer,Office,Retail,7,1295,9065,3567.44,298.46,1192.06,5057.96,4007.04,44.2,4
ORD000028,2024-02-01,Africa,Egypt,Laptop,Computers,Retail,19,2032,38608,17395.61,2804.33,3514.11,23714.05,14893.95,38.58,1
ORD000029,2024-09-17,Europe,France,Desktop,Computers,Retail,22,1043,22946,9884.11,3891.07,2750.7,16525.88,6420.12,27.98,3
ORD000030,2024-10-23,Middle East,UAE,Smartwatch,Wearables,Retail,14,2470,34580,16012.11,1584.4,3397.61,20994.12,13585.88,39.29,4
ORD000031,2024-12-08,Africa,Egypt,Tablet,Mobile,Wholesale,13,616,8008,3878.58,360.36,817.88,5056.82,2951.18,36.85,4
ORD000032,2024-02-07,Europe,Spain,Smartwatch,Wearables,Retail,3,2282,6846,2687.95,296.16,994.92,3979.03,2866.97,41.88,1
ORD000033,2024-02-05,Asia,China,Monitor,Accessories,Retail,15,2305,34575,16966.23,2094.69,5155.35,24216.27,10358.73,29.96,1
ORD000034,2024-11-30,Middle East,UAE,Headphones,Audio,Wholesale,22,504,11088,5962.97,407.09,976.63,7346.69,3741.31,33.74,4
ORD000035,2024-02-24,Africa,Kenya,Smartphone,Mobile,Wholesale,10,942,9420,4648.98,378.49,1171.82,6199.29,3220.71,34.19,1
ORD000036,2024-05-15,Middle East,Saudi Arabia,Monitor,Accessories,Retail,3,1814,5442,2807.36,175.26,562.43,3545.05,1896.95,34.86,2
ORD000037,2024-03-07,Africa,Egypt,Smartphone,Mobile,Wholesale,18,1831,32958,15232.57,1173.1,4816.93,21222.6,11735.4,35.61,1
ORD000038,2024-12-19,Asia,India,Keyboard,Accessories,Retail,14,602,8428,3020.31,406.5,1224.72,4651.53,3776.47,44.81,4
ORD000039,2024-01-21,North America,USA,Tablet,Mobile,Retail,12,2373,28476,15001.92,1432.88,3515.26,19950.06,8525.94,29.94,1
ORD000040,2024-03-20,Asia,Japan,Smartphone,Mobile,Wholesale,1,814,814,404.81,37.94,118.16,560.91,253.09,31.09,1
ORD000041,2024-12-08,Africa,South Africa,Monitor,Accessories,Retail,23,522,12006,5120.66,383.43,1356.06,6860.15,5145.85,42.86,4
ORD000042,2024-04-12,South America,Argentina,Monitor,Accessories,Retail,8,176,1408,678.67,70.29,140.1,889.06,518.94,36.86,2
ORD000043,2024-02-05,North America,Canada,Headphones,Audio,Wholesale,22,2276,50072,20841.47,1571.26,7079.81,29492.54,20579.46,41.1,1
ORD000044,2024-05-13,Asia,China,Laptop,Computers,Retail,20,1859,37180,15583.53,2577.37,4110.16,22271.06,14908.94,40.1,2
ORD000045,2024-09-18,Europe,Spain,Smartwatch,Wearables,Retail,9,261,2349,1155.14,155.47,340.11,1650.72,698.28,29.73,3
ORD000046,2024-10-02,Africa,Kenya,Tablet,Mobile,Wholesale,14,366,5124,2765.81,389.62,633.43,3788.86,1335.14,26.06,4
ORD000047,2024-12-05,Europe,Italy,Headphones,Audio,Wholesale,22,1752,38544,16004.88,2499.98,4579.37,23084.23,15459.77,40.11,4
ORD000048,2024-04-08,South America,Argentina,Smartphone,Mobile,Wholesale,13,2324,30212,15611.9,1365.39,2861.46,19838.75,10373.25,34.33,2
ORD000049,2024-10-23,Middle East,Qatar,Keyboard,Accessories,Wholesale,15,1891,28365,13760.58,1575.92,3845.2,19181.7,9183.3,32.38,4
ORD000050,2024-03-27,Africa,South Africa,Monitor,Accessories,Wholesale,3,1042,3126,1514.73,128.89,293.65,1937.27,1188.73,38.03,1
ORD000051,2024-01-13,Europe,France,Printer,Office,Retail,15,1777,26655,14053.25,1566.88,3472.73,19092.86,7562.14,28.37,1
ORD000052,2024-07-15,South America,Argentina,Tablet,Mobile,Retail,21,102,2142,1132.12,156.41,304.13,1592.66,549.34,25.65,3
ORD000053,2024-08-05,Asia,Japan,Headphones,Audio,Wholesale,2,2363,4726,1889.64,342.24,529.09,2760.97,1965.03,41.58,3
ORD000054,2024-08-25,Africa,Kenya,Headphones,Audio,Wholesale,25,1892,47300,22350.69,3120.08,5455.32,30926.09,16373.91,34.62,3
ORD000055,2024-10-07,South America,Brazil,Printer,Office,Wholesale,9,1092,9828,5090.63,431.11,1321.25,6842.99,2985.01,30.37,4
ORD000056,2024-09-05,Africa,South Africa,Monitor,Accessories,Wholesale,3,1250,3750,1488.37,175.47,534.42,2198.26,1551.74,41.38,3
ORD000057,2024-02-11,Asia,Japan,Tablet,Mobile,Wholesale,23,705,16215,7966.17,538.52,1759.85,10264.54,5950.46,36.7,1
ORD000058,2024-10-04,South America,Argentina,Laptop,Computers,Retail,14,1675,23450,12451.19,1388.33,3017.7,16857.22,6592.78,28.11,4
ORD000059,2024-10-21,South America,Argentina,Laptop,Computers,Wholesale,10,1677,16770,8731.96,1302.55,1833.49,11868.0,4902.0,29.23,4
ORD000060,2024-10-06,Middle East,UAE,Printer,Office,Retail,9,1865,16785,7505.05,829.9,2128.69,10463.64,6321.36,37.66,4
ORD000061,2024-07-26,Africa,South Africa,Printer,Office,Retail,20,2267,45340,16113.53,2253.44,5418.47,23785.44,21554.56,47.54,3
ORD000062,2024-01-14,Europe,Spain,Smartphone,Mobile,Wholesale,6,285,1710,687.47,79.29,191.23,957.99,752.01,43.98,1
ORD000063,2024-06-21,South America,Argentina,Mouse,Accessories,Wholesale,3,2006,6018,2129.63,342.85,902.66,3375.14,2642.86,43.92,2
ORD000064,2024-06-28,Asia,India,Laptop,Computers,Retail,8,896,7168,3711.92,437.73,693.13,4842.78,2325.22,32.44,2
ORD000065,2024-08-30,Africa,South Africa,Smartwatch,Wearables,Retail,15,1129,16935,8524.73,650.13,2074.66,11249.52,5685.48,33.57,3
ORD000066,2024-02-28,Asia,China,Desktop,Computers,Retail,10,2438,24380,11835.75,1899.41,2627.33,16362.49,8017.51,32.89,1
ORD000067,2024-04-11,Europe,Netherlands,Tablet,Mobile,Retail,23,1315,30245,15729.17,1815.32,2675.89,20220.38,10024.62,33.14,2
ORD000068,2024-10-16,Europe,Italy,Headphones,Audio,Wholesale,22,1597,35134,12781.45,2191.56,2841.84,17814.85,17319.15,49.29,4
ORD000069,2024-08-03,South America,Brazil,Mouse,Accessories,Wholesale,21,1963,41223,20259.53,2134.29,5415.29,27809.11,13413.89,32.54,3
ORD000070,2024-11-29,North America,Mexico,Headphones,Audio,Wholesale,15,1864,27960,14403.51,1667.08,2867.61,18938.2,9021.8,32.27,4
ORD000071,2024-05-05,Europe,Italy,Printer,Office,Retail,25,1983,49575,23001.31,3143.52,5133.38,31278.21,18296.79,36.91,2
ORD000072,2024-09-10,North America,USA,Printer,Office,Retail,12,1138,13656,5709.13,1010.76,1762.76,8482.65,5173.35,37.88,3
ORD000073,2024-05-21,Middle East,UAE,Headphones,Audio,Retail,3,1068,3204,1582.82,174.39,426.36,2183.57,1020.43,31.85,2
ORD000074,2024-12-19,South America,Argentina,Printer,Office,Retail,3,1285,3855,1520.1,248.99,391.03,2160.12,1694.88,43.97,4
ORD000075,2024-10-24,North America,Canada,Headphones,Audio,Wholesale,14,2334,32676,13598.39,2128.6,3233.75,18960.74,13715.26,41.97,4
ORD000076,2024-05-08,Asia,India,Tablet,Mobile,Wholesale,4,2274,9096,4913.44,586.77,849.64,6349.85,2746.15,30.19,2
ORD000077,2024-09-04,North America,Mexico,Smartwatch,Wearables,Wholesale,4,875,3500,1432.37,168.15,354.06,1954.58,1545.42,44.15,3
ORD000078,2024-12-28,Middle East,UAE,Monitor,Accessories,Retail,2,2346,4692,1916.34,362.24,584.86,2863.44,1828.56,38.97,4
ORD000079,2024-09-08,Europe,Germany,Smartwatch,Wearables,Wholesale,16,2040,32640,14299.38,2816.18,2728.59,19844.15,12795.85,39.2,3
ORD000080,2024-09-01,Europe,Germany,Mouse,Accessories,Wholesale,3,2443,7329,3487.79,526.94,662.86,4677.59,2651.41,36.18,3
ORD000081,2024-10-15,North America,USA,Tablet,Mobile,Retail,18,1784,32112,15133.21,2232.97,3076.27,20442.45,11669.55,36.34,4
ORD000082,2024-09-24,South America,Argentina,Printer,Office,Wholesale,19,1836,34884,14339.98,2129.72,4279.37,20749.07,14134.93,40.52,3
ORD000083,2024-02-20,Asia,Japan,Monitor,Accessories,Retail,6,1062,6372,2451.71,215.08,510.95,3177.74,3194.26,50.13,1
ORD000084,2024-08-18,Africa,Kenya,Printer,Office,Wholesale,2,1028,2056,838.07,90.74,288.19,1217.0,839.0,40.81,3
ORD000085,2024-02-06,Africa,South Africa,Monitor,Accessories,Retail,14,550,7700,3533.63,480.34,1105.63,5119.6,2580.4,33.51,1
ORD000086,2024-03-13,Europe,Germany,Smartphone,Mobile,Wholesale,20,2411,48220,25760.98,2505.4,5439.64,33706.02,14513.98,30.1,1
ORD000087,2024-06-04,Africa,Egypt,Monitor,Accessories,Wholesale,15,409,6135,2881.04,456.88,806.25,4144.17,1990.83,32.45,2
ORD000088,2024-11-05,North America,USA,Desktop,Computers,Retail,22,2436,53592,25050.22,1663.35,7156.31,33869.88,19722.12,36.8,4
ORD000089,2024-05-17,Middle East,UAE,Smartphone,Mobile,Wholesale,17,1891,32147,17141.25,1256.13,3888.92,22286.3,9860.7,30.67,2
ORD000090,2024-11-21,South America,Brazil,Printer,Office,Wholesale,14,1445,20230,8379.5,712.7,1846.14,10938.34,9291.66,45.93,4
ORD000091,2024-07-29,Africa,Egypt,Monitor,Accessories,Wholesale,25,2333,58325,20841.82,2006.55,5696.48,28544.85,29780.15,51.06,3
ORD000092,2024-02-29,South America,Brazil,Headphones,Audio,Wholesale,14,302,4228,1638.42,203.32,562.12,2403.86,1824.14,43.14,1
ORD000093,2024-11-16,South America,Brazil,Tablet,Mobile,Wholesale,18,616,11088,5938.01,575.53,1428.99,7942.53,3145.47,28.37,4
ORD000094,2024-03-03,Europe,Netherlands,Tablet,Mobile,Retail,10,2336,23360,8239.89,1177.33,2236.23,11653.45,11706.55,50.11,1
ORD000095,2024-02-28,South America,Brazil,Smartphone,Mobile,Wholesale,23,1275,29325,13248.28,1280.66,4059.48,18588.42,10736.58,36.61,1
ORD000096,2024-08-29,Asia,Singapore,Headphones,Audio,Retail,13,860,11180,5974.3,619.51,1582.56,8176.37,3003.63,26.87,3
ORD000097,2024-02-05,North America,Canada,Keyboard,Accessories,Wholesale,1,1238,1238,613.07,88.98,149.3,851.35,386.65,31.23,1
ORD000098,2024-12-03,South America,Brazil,Printer,Office,Wholesale,12,1441,17292,7960.95,988.61,1934.53,10884.09,6407.91,37.06,4
ORD000099,2024-06-13,Asia,Japan,Smartwatch,Wearables,Wholesale,8,1762,14096,5056.65,947.75,1823.54,7827.94,6268.06,44.47,2
ORD000100,2024-07-14,South America,Brazil,Printer,Office,Retail,5,2137,10685,5802.71,497.92,929.87,7230.5,3454.5,32.33,3
ORD000101,2024-08-13,Europe,Netherlands,Printer,Office,Retail,24,670,16080,6946.49,2219.45,1460.15,10626.09,5453.91,33.92,3
ORD000102,2024-08-28,North America,Canada,Smartwatch,Wearables,Wholesale,21,408,8568,4458.39,622.18,1200.84,6281.41,2286.59,26.69,3
ORD000103,2024-07-13,North America,Mexico,Printer,Office,Retail,20,360,7200,2858.07,462.38,720.84,4041.29,3158.71,43.87,3
ORD000104,2024-04-26,Africa,South Africa,Mouse,Accessories,Retail,25,491,12275,5385.48,794.19,1758.27,7937.94,4337.06,35.33,2
ORD000105,2024-01-24,North America,USA,Monitor,Accessories,Wholesale,12,1844,22128,8389.03,1251.52,2646.84,12287.39,9840.61,44.47,1
ORD000106,2024-04-02,Asia,Japan,Desktop,Computers,Wholesale,20,1066,21320,9584.05,1261.25,2052.12,12897.42,8422.58,39.51,2
ORD000107,2024-11-22,North America,Canada,Monitor,Accessories,Retail,15,1258,18870,9161.8,715.15,2093.08,11970.03,6899.97,36.57,4
ORD000108,2024-06-25,Middle East,Saudi Arabia,Mouse,Accessories,Wholesale,15,1317,19755,7701.36,972.63,2248.6,10922.59,8832.41,44.71,2
ORD000109,2024-05-01,South America,Argentina,Smartwatch,Wearables,Wholesale,23,1289,29647,10506.54,2119.82,3193.17,15819.53,13827.47,46.64,2
ORD000110,2024-01-05,Middle East,Qatar,Laptop,Computers,Wholesale,10,1022,10220,4817.84,486.64,1273.04,6577.52,3642.48,35.64,1
ORD000111,2024-11-13,North America,Mexico,Smartphone,Mobile,Retail,21,241,5061,2084.05,263.38,610.21,2957.64,2103.36,41.56,4
ORD000112,2024-03-08,Europe,Italy,Keyboard,Accessories,Wholesale,6,902,5412,2037.25,308.32,801.0,3146.57,2265.43,41.86,1
ORD000113,2024-09-28,Middle East,Saudi Arabia,Smartphone,Mobile,Wholesale,16,1288,20608,10289.82,967.25,1814.78,13071.85,7536.15,36.57,3
ORD000114,2024-02-08,Asia,Japan,Mouse,Accessories,Wholesale,3,1696,5088,1794.96,289.14,569.02,2653.12,2434.88,47.86,1
ORD000115,2024-12-10,Africa,Kenya,Monitor,Accessories,Wholesale,21,1601,33621,12495.89,1401.7,2748.57,16646.16,16974.84,50.49,4
ORD000116,2024-10-14,North America,Mexico,Tablet,Mobile,Retail,21,1981,41601,22126.64,1876.6,4517.07,28520.31,13080.69,31.44,4
ORD000117,2024-03-12,Europe,Germany,Monitor,Accessories,Wholesale,4,478,1912,758.99,108.75,204.98,1072.72,839.28,43.9,1
ORD000118,2024-07-08,Africa,Kenya,Headphones,Audio,Wholesale,19,712,13528,7130.38,848.83,1871.71,9850.92,3677.08,27.18,3
ORD000119,2024-11-11,South America,Argentina,Laptop,Computers,Wholesale,7,1896,13272,5825.6,554.84,1398.71,7779.15,5492.85,41.39,4
ORD000120,2024-12-17,North America,Mexico,Keyboard,Accessories,Retail,13,1210,15730,6102.64,567.98,2192.17,8862.79,6867.21,43.66,4
ORD000121,2024-08-20,Europe,France,Smartwatch,Wearables,Retail,2,1446,2892,1153.08,230.93,345.65,1729.66,1162.34,40.19,3
ORD000122,2024-02-05,Middle East,UAE,Smartwatch,Wearables,Retail,8,1425,11400,5755.56,791.53,1387.59,7934.68,3465.32,30.4,1
ORD000123,2024-05-21,Asia,Japan,Headphones,Audio,Wholesale,6,530,3180,1533.43,99.5,257.71,1890.64,1289.36,40.55,2
ORD000124,2024-05-01,Middle East,Saudi Arabia,Laptop,Computers,Retail,9,294,2646,993.18,135.07,232.73,1360.98,1285.02,48.56,2
ORD000125,2024-02-02,South America,Argentina,Keyboard,Accessories,Retail,15,2143,32145,12675.09,1952.98,4208.01,18836.08,13308.92,41.4,1
ORD000126,2024-12-03,Middle East,Saudi Arabia,Printer,Office,Retail,2,2041,4082,2120.43,209.46,357.41,2687.3,1394.7,34.17,4
ORD000127,2024-12-30,South America,Brazil,Desktop,Computers,Wholesale,20,687,13740,4989.49,601.14,1708.09,7298.72,6441.28,46.88,4
ORD000128,2024-10-07,Africa,Egypt,Mouse,Accessories,Wholesale,15,2150,32250,15192.5,1127.43,4164.27,20484.2,11765.8,36.48,4
ORD000129,2024-12-01,Africa,Kenya,Tablet,Mobile,Wholesale,15,1015,15225,6588.81,1086.62,1642.95,9318.38,5906.62,38.8,4
ORD000130,2024-02-18,North America,Canada,Keyboard,Accessories,Wholesale,12,705,8460,4123.1,454.42,730.82,5308.34,3151.66,37.25,1
ORD000131,2024-02-13,Europe,Spain,Desktop,Computers,Wholesale,5,2358,11790,4267.94,917.63,1406.76,6592.33,5197.67,44.09,1
ORD000132,2024-12-09,Europe,Spain,Keyboard,Accessories,Wholesale,24,290,6960,3784.01,417.74,728.12,4929.87,2030.13,29.17,4
ORD000133,2024-10-22,Middle East,UAE,Smartphone,Mobile,Wholesale,8,523,4184,1757.38,241.89,368.37,2367.64,1816.36,43.41,4
ORD000134,2024-05-22,Middle East,UAE,Mouse,Accessories,Retail,20,1175,23500,8361.08,1026.09,3134.16,12521.33,10978.67,46.72,2
ORD000135,2024-06-22,North America,USA,Smartphone,Mobile,Retail,19,1721,32699,11899.72,2192.42,4840.33,18932.47,13766.53,42.1,2
ORD000136,2024-02-16,Africa,Kenya,Tablet,Mobile,Wholesale,14,1938,27132,11346.04,1315.97,3541.04,16203.05,10928.95,40.28,1
ORD000137,2024-10-17,Middle East,UAE,Laptop,Computers,Retail,6,283,1698,823.18,74.04,214.52,1111.74,586.26,34.53,4
ORD000138,2024-09-05,Middle East,Saudi Arabia,Mouse,Accessories,Wholesale,7,2178,15246,5683.15,785.1,1521.97,7990.22,7255.78,47.59,3
ORD000139,2024-12-13,Middle East,Saudi Arabia,Headphones,Audio,Wholesale,2,983,1966,843.52,117.89,158.34,1119.75,846.25,43.04,4
ORD000140,2024-06-03,Asia,Japan,Monitor,Accessories,Wholesale,11,571,6281,2208.06,423.03,579.73,3210.82,3070.18,48.88,2
ORD000141,2024-07-13,Middle East,Qatar,Tablet,Mobile,Wholesale,3,1706,5118,2673.4,164.37,416.15,3253.92,1864.08,36.42,3
ORD000142,2024-02-09,North America,Mexico,Mouse,Accessories,Wholesale,23,1790,41170,16793.37,2068.86,6078.09,24940.32,16229.68,39.42,1
ORD000143,2024-03-28,Middle East,Saudi Arabia,Keyboard,Accessories,Retail,14,513,7182,2863.2,426.92,837.98,4128.1,3053.9,42.52,1
ORD000144,2024-07-21,North America,Mexico,Keyboard,Accessories,Retail,11,768,8448,3085.85,520.91,989.62,4596.38,3851.62,45.59,3
ORD000145,2024-04-09,North America,Canada,Smartphone,Mobile,Retail,4,679,2716,1089.64,105.04,246.34,1441.02,1274.98,46.94,2
ORD000146,2024-12-01,Europe,France,Printer,Office,Wholesale,25,2389,59725,29980.48,3132.29,8641.66,41754.43,17970.57,30.09,4
ORD000147,2024-10-16,Africa,Kenya,Smartwatch,Wearables,Wholesale,21,1374,28854,10970.04,964.14,3201.48,15135.66,13718.34,47.54,4
ORD000148,2024-06-04,North America,Mexico,Laptop,Computers,Wholesale,17,383,6511,2683.06,342.45,546.81,3572.32,2938.68,45.13,2
ORD000149,2024-05-26,Europe,Germany,Smartwatch,Wearables,Wholesale,15,2457,36855,16985.12,2564.77,5259.63,24809.52,12045.48,32.68,2
ORD000150,2024-08-18,Middle East,Qatar,Tablet,Mobile,Wholesale,20,2028,40560,18263.09,3159.06,4523.93,25946.08,14613.92,36.03,3
ORD000151,2024-06-24,Africa,South Africa,Headphones,Audio,Retail,2,1094,2188,1075.46,174.05,255.31,1504.82,683.18,31.22,2
ORD000152,2024-11-08,Asia,China,Keyboard,Accessories,Wholesale,13,1754,22802,11512.57,1458.07,1907.74,14878.38,7923.62,34.75,4
ORD000153,2024-11-19,Africa,Egypt,Desktop,Computers,Wholesale,4,2365,9460,4594.49,418.2,1236.06,6248.75,3211.25,33.95,4
ORD000154,2024-12-02,Middle East,UAE,Keyboard,Accessories,Retail,19,659,12521,6678.07,569.85,1576.69,8824.61,3696.39,29.52,4
ORD000155,2024-12-05,South America,Brazil,Smartwatch,Wearables,Retail,10,2369,23690,10076.21,1648.42,3243.7,14968.33,8721.67,36.82,4
ORD000156,2024-12-09,Africa,Kenya,Headphones,Audio,Retail,21,1814,38094,17206.97,1177.54,3871.14,22255.65,15838.35,41.58,4
ORD000157,2024-04-19,North America,Canada,Tablet,Mobile,Retail,5,714,3570,1304.6,257.83,310.88,1873.31,1696.69,47.53,2
ORD000158,2024-10-03,Africa,Kenya,Laptop,Computers,Wholesale,25,616,15400,7229.52,580.77,1426.95,9237.24,6162.76,40.02,4
ORD000159,2024-12-20,Middle East,UAE,Printer,Office,Retail,14,1572,22008,10679.88,921.62,2444.95,14046.45,7961.55,36.18,4
ORD000160,2024-05-25,Africa,Egypt,Tablet,Mobile,Retail,10,2001,20010,10621.21,794.41,2550.9,13966.52,6043.48,30.2,2
ORD000161,2024-10-19,South America,Argentina,Monitor,Accessories,Wholesale,17,2240,38080,16516.52,1450.96,3578.71,21546.19,16533.81,43.42,4
ORD000162,2024-11-05,Asia,China,Laptop,Computers,Wholesale,12,2351,28212,15145.86,1849.86,3275.8,20271.52,7940.48,28.15,4
ORD000163,2024-03-04,North America,USA,Smartphone,Mobile,Wholesale,15,2182,32730,12420.04,1697.82,4786.73,18904.59,13825.41,42.24,1
ORD000164,2024-04-23,South America,Argentina,Laptop,Computers,Wholesale,2,1703,3406,1534.07,142.33,509.59,2185.99,1220.01,35.82,2
ORD000165,2024-07-10,Asia,India,Keyboard,Accessories,Retail,23,1453,33419,16986.08,1232.49,3344.63,21563.2,11855.8,35.48,3
ORD000166,2024-08-29,Africa,South Africa,Printer,Office,Wholesale,20,101,2020,1072.97,62.52,192.09,1327.58,692.42,34.28,3
ORD000167,2024-03-17,Middle East,Qatar,Smartwatch,Wearables,Wholesale,4,1260,5040,2003.54,181.91,487.32,2672.77,2367.23,46.97,1
ORD000168,2024-11-23,Middle East,Saudi Arabia,Desktop,Computers,Retail,16,2275,36400,12859.65,2029.98,3528.46,18418.09,17981.91,49.4,4
ORD000169,2024-03-14,North America,Canada,Laptop,Computers,Wholesale,8,2417,19336,8378.55,1222.39,1662.76,11263.7,8072.3,41.75,1
ORD000170,2024-07-03,Europe,Netherlands,Headphones,Audio,Retail,13,2005,26065,9349.69,2829.53,2766.31,14945.53,11119.47,42.66,3
ORD000171,2024-01-09,North America,USA,Keyboard,Accessories,Retail,24,504,12096,6100.02,807.52,1249.23,8156.77,3939.23,32.57,1
ORD000172,2024-01-23,North America,Mexico,Keyboard,Accessories,Retail,25,1983,49575,27076.07,2673.41,4598.55,34348.03,15226.97,30.72,1
ORD000173,2024-03-10,Europe,Spain,Laptop,Computers,Wholesale,7,259,1813,921.41,134.69,185.09,1241.19,571.81,31.54,1
ORD000174,2024-06-07,Middle East,Saudi Arabia,Headphones,Audio,Wholesale,9,229,2061,1031.86,81.52,216.38,1329.76,731.24,35.48,2
ORD000175,2024-01-25,Africa,Egypt,Monitor,Accessories,Retail,12,1869,22428,11839.68,1506.39,3198.79,16544.86,5883.14,26.23,1
ORD000176,2024-07-16,North America,USA,Printer,Office,Wholesale,12,2206,26472,10677.33,903.5,2904.37,14485.2,11986.8,45.28,3
ORD000177,2024-08-08,Middle East,UAE,Headphones,Audio,Wholesale,11,500,5500,2013.08,346.75,558.0,2917.83,2582.17,46.95,3
ORD000178,2024-11-04,Africa,Egypt,Smartphone,Mobile,Wholesale,12,1911,22932,8220.46,1685.54,2400.5,12306.5,10625.5,46.33,4
ORD000179,2024-08-10,North America,Mexico,Laptop,Computers,Retail,22,1743,38346,16207.41,2686.32,4891.37,23785.1,14560.9,37.97,3
ORD000180,2024-01-16,Asia,Singapore,Laptop,Computers,Retail,3,1046,3138,1586.9,151.62,335.14,2073.66,1064.34,33.92,1
ORD000181,2024-10-17,Europe,Netherlands,Smartphone,Mobile,Wholesale,12,1603,19236,8440.52,651.03,1724.29,10815.84,8420.16,43.77,4
ORD000182,2024-07-06,South America,Argentina,Monitor,Accessories,Retail,4,186,744,369.87,40.88,79.67,490.42,253.58,34.08,3
ORD000183,2024-10-14,Europe,Italy,Monitor,Accessories,Wholesale,7,1249,8743,4273.54,698.84,821.95,5794.33,2948.67,33.73,4
ORD000184,2024-03-10,Europe,Spain,Smartphone,Mobile,Wholesale,3,1389,4167,2015.03,272.84,493.79,2781.66,1385.34,33.25,1
ORD000185,2024-05-28,North America,USA,Smartphone,Mobile,Wholesale,17,998,16966,6349.91,679.47,1522.21,8551.59,8414.41,49.6,2
ORD000186,2024-09-09,Europe,Italy,Headphones,Audio,Wholesale,15,2339,35085,13190.35,5728.23,2968.27,21886.85,13198.15,37.62,3
ORD000187,2024-07-22,Africa,Kenya,Printer,Office,Wholesale,25,1757,43925,22606.79,1479.73,6503.82,30590.34,13334.66,30.36,3
